iter	Passed	Remaining
0	221	221469
1	257	128443
2	281	93651
3	305	76166
4	332	66244
5	358	59404
6	382	54282
7	407	50510
8	438	48275
9	464	45962
10	489	44007
11	513	42306
12	537	40839
13	562	39621
14	588	38616
15	620	38167
16	647	37419
17	673	36733
18	697	36035
19	722	35410
20	746	34822
21	771	34285
22	807	34287
23	842	34262
24	871	33995
25	902	33792
26	930	33549
27	963	33450
28	993	33276
29	1023	33095
30	1050	32845
31	1076	32557
32	1101	32288
33	1127	32047
34	1152	31783
35	1187	31789
36	1214	31618
37	1241	31442
38	1268	31249
39	1297	31131
40	1323	30946
41	1350	30803
42	1388	30906
43	1423	30931
44	1458	30948
45	1484	30797
46	1510	30629
47	1535	30462
48	1560	30293
49	1586	30141
50	1610	29969
51	1644	29987
52	1670	29843
53	1694	29679
54	1719	29551
55	1744	29410
56	1769	29269
57	1793	29132
58	1820	29034
59	1852	29018
60	1878	28911
61	1906	28837
62	1931	28731
63	1955	28604
64	1981	28499
65	2006	28393
66	2041	28429
67	2066	28320
68	2091	28216
69	2118	28152
70	2143	28051
71	2168	27946
72	2193	27850
73	2226	27861
74	2276	28081
75	2302	27996
76	2330	27936
77	2356	27858
78	2386	27820
79	2423	27871
80	2455	27859
81	2481	27785
82	2507	27700
83	2532	27611
84	2556	27518
85	2580	27423
86	2615	27450
87	2641	27370
88	2665	27284
89	2689	27197
90	2715	27120
91	2738	27030
92	2766	26976
93	2793	26928
94	2822	26885
95	2846	26801
96	2870	26722
97	2895	26652
98	2919	26568
99	2943	26491
100	2968	26425
101	3001	26429
102	3028	26376
103	3054	26312
104	3078	26236
105	3102	26166
106	3128	26107
107	3153	26042
108	3184	26031
109	3215	26019
110	3242	25973
111	3271	25934
112	3298	25892
113	3324	25840
114	3349	25780
115	3378	25748
116	3404	25691
117	3429	25633
118	3453	25568
119	3478	25510
120	3503	25450
121	3527	25386
122	3552	25331
123	3581	25302
124	3607	25251
125	3631	25188
126	3654	25123
127	3678	25061
128	3704	25011
129	3729	24955
130	3755	24912
131	3783	24877
132	3810	24838
133	3834	24783
134	3858	24725
135	3882	24666
136	3906	24606
137	3932	24563
138	3962	24543
139	3987	24493
140	4013	24450
141	4041	24422
142	4065	24366
143	4091	24321
144	4116	24274
145	4147	24261
146	4174	24224
147	4200	24181
148	4227	24146
149	4252	24097
150	4276	24044
151	4300	23991
152	4328	23960
153	4359	23949
154	4386	23911
155	4411	23867
156	4437	23825
157	4461	23774
158	4484	23721
159	4510	23678
160	4539	23656
161	4565	23617
162	4590	23574
163	4614	23523
164	4639	23477
165	4665	23438
166	4690	23398
167	4720	23375
168	4746	23338
169	4769	23288
170	4793	23240
171	4819	23199
172	4846	23168
173	4873	23134
174	4898	23093
175	4925	23060
176	4951	23022
177	4979	22994
178	5006	22962
179	5033	22928
180	5061	22903
181	5089	22874
182	5119	22857
183	5145	22821
184	5173	22791
185	5202	22767
186	5231	22742
187	5259	22715
188	5287	22689
189	5316	22665
190	5345	22641
191	5373	22613
192	5401	22586
193	5427	22549
194	5453	22511
195	5481	22485
196	5511	22464
197	5537	22429
198	5564	22398
199	5593	22373
200	5622	22350
201	5649	22316
202	5675	22281
203	5707	22269
204	5730	22224
205	5756	22188
206	5782	22151
207	5807	22114
208	5836	22089
209	5862	22055
210	5891	22031
211	5923	22018
212	5949	21983
213	5978	21958
214	6006	21932
215	6031	21893
216	6057	21858
